time,pi,factor
"2024-05-10 18:58:01",3.1415875283283916,195112
"2024-05-10 18:59:01",3.141597522636734,205379
"2024-05-10 19:00:02",4,1
"2024-05-10 19:01:02",4,1
"2024-05-10 19:02:03",3.017071817071818,8
"2024-05-10 19:03:03",3.1786170109992202,27
"2024-05-10 19:04:03",3.125968606973288,64
"2024-05-10 19:05:03",3.1495925256000317,125
"2024-05-10 19:06:03",3.1369630487667557,216
"2024-05-10 19:07:04",3.1445080992896712,343
"2024-05-10 19:08:04",3.139639530452431,512
"2024-05-10 19:09:04",3.1429643950569854,729
"2024-05-10 19:10:04",3.140592653839794,1000
"2024-05-10 19:11:04",3.14234396828467,1331
"2024-05-10 19:12:05",3.141013949934539,1728
"2024-05-10 19:13:05",3.142047819701858,2197
"2024-05-10 19:14:05",3.1412282221150143,2744
"2024-05-10 19:15:05",3.14188894987959,3375
"2024-05-10 19:16:05",3.141348512968434,4096
"2024-05-10 19:17:07",3.1417961952119438,4913
"2024-05-10 19:18:07",3.141421185826989,5832
"2024-05-10 19:19:07",3.141738447436511,6859
"2024-05-10 19:20:07",3.141467653590268,8000
"2024-05-10 19:21:08",3.141700633289284,9261
"2024-05-10 19:22:08",3.141498739239878,10648
"2024-05-10 19:23:08",3.141674843118693,12167
"2024-05-10 19:24:08",3.141520315626915,13824
"2024-05-10 19:25:08",3.141656653589722,15625
"2024-05-10 19:26:09",3.1415357578228837,17576
"2024-05-10 19:27:09",3.1416434588531876,19683
"2024-05-10 19:28:09",3.141547099653953,21952
"2024-05-10 19:29:09",3.1416336556808755,24389
"2024-05-10 19:30:10",3.1415556165527665,27000
"2024-05-10 19:31:10",3.1416262207744947,29791
"2024-05-10 19:32:10",3.1415621360116797,32768
"2024-05-10 19:33:11",3.1416204800638963,35937
"2024-05-10 19:34:11",3.141567210886769,39304
"2024-05-10 19:35:11",3.1416159772049452,42875
"2024-05-10 19:36:11",3.1415712201192867,46656
"2024-05-10 19:37:12",3.141612395757074,50653
"2024-05-10 19:38:12",3.1415744293588412,54872
"2024-05-10 19:39:12",3.141609511594793,59319
"2024-05-10 19:40:13",3.141577028589768,64000
"2024-05-10 19:41:13",3.141607162955563,68921
"2024-05-10 19:42:14",3.1415791561272712,74088
"2024-05-10 19:43:14",3.141605231098648,79507
"2024-05-10 19:44:14",3.1415809142959636,85184
"2024-05-10 19:45:15",3.1416036275266306,91125
"2024-05-10 19:46:15",3.141582379898584,97336
"2024-05-10 19:47:15",3.1416022853668917,103823
"2024-05-10 19:48:16",3.1415836113443634,110592
"2024-05-10 19:49:16",3.1416011534494763,117649
"2024-05-10 19:50:16",3.141584653589728,125000
"2024-05-10 19:51:17",3.1416001921684225,132651
"2024-05-10 19:52:17",3.1415855416188876,140608
"2024-05-10 19:53:18",3.141599370544006,148877
"2024-05-10 19:54:18",3.1415863029318056,157464
"2024-05-10 19:55:19",3.141598664108154,166375
"2024-05-10 19:56:19",3.141586959347785,175616
